id,polar_id,spg1,polar_id2,spg2,polar_id1,natom,de,time,dist1,dist2,diff,label
  64, mp-625452,     6,  mp-625447,   176, H3O3Pr       ,     14,  -0.000,    0.1,   0.102,   0.260,  0.158, new
  66, mp-626448,     7,  mp-626109,    14, H4O5S        ,     40,  -0.000,    0.4,   0.195,   0.232,  0.037, new
  68, mp-625256,     7,  mp-27773 ,    14, H5IO6        ,     48,  -0.001,    2.7,   0.268,   0.618,  0.350, new
  70, mp-626450,     7,  mp-23902 ,    14, H3O4P        ,     32,  -0.013,    1.3,   0.869,   0.640, -0.229, new
  72, mp-626450,     7,  mp-626449,    14, H3O4P        ,     32,  -0.003,    0.1,   0.391,   0.415,  0.024, new
  74, mp-27181 ,     7,  mp-568986,    14, AuCl4K       ,     24,   0.000,    0.1,   0.059,   0.089,  0.030, new
  76, mp-626587,     7,  mp-626605,    61, AlH3O3       ,     56,   0.008,    4.1,   0.628,   0.754,  0.126, new
  78, mp-723064,     7,  mp-23335 ,   139, Bi4O12Ti3    ,     38,   0.062,    0.5,   0.567,   0.474, -0.093, Known
  80, mp-605843,     8,  mp-549869,   121, CK4O4        ,     18,   0.002,    0.1,   0.288,   0.255, -0.033, new
  82, mp-557881,     8,  mp-558351,    12, O2Si         ,     72,  -0.000,    0.1,   0.131,   0.134,  0.003, new
  84, mp-29246 ,     9,  mp-644431,    15, Cd2ClP3      ,     24,   0.000,    0.0,   0.056,   0.073,  0.017, new
  86, mp-695383,     9,  mp-706912,    15, HK2NO6S2     ,     48,   0.006,    0.1,   0.594,   0.373, -0.221, new
